Depth,S1,S2,S3,TOC,PP,Tmax,classes
1875,0.12,3.93,0.54,1.41,4.05,419,Good/Good
1878,0.13,4.41,0.48,1.44,4.54,419,Good/Good
1881,0.15,12.34,0.7,2.32,12.49,418,Excellent/Very Good
1884,0.14,7.46,0.51,1.64,7.6,419,Very Good/Poor
1887,0.18,6.43,0.5,1.63,6.61,417,Very Good/Poor
1890,0.2,6.94,0.58,1.79,7.14,418,Very Good/Poor
1893,0.15,9.14,0.45,1.76,9.29,417,Very Good/Poor
1896,0.17,14.11,0.61,2.55,14.28,416,Excellent/Very Good
1899,0.23,13.33,0.48,2.82,13.56,417,Excellent/Very Good
1902,0.19,10.48,0.45,1.9,10.67,417,Excellent/Good
1905,0.19,10.44,0.52,1.83,10.63,415,Excellent/Good
1908,0.18,8.87,0.45,1.87,9.05,415,Very Good/Poor
1911,0.18,8.47,0.43,1.8,8.65,416,Very Good/Poor
1914,0.14,6.39,0.42,1.74,6.53,420,Very Good/Poor
1917,0.19,6.64,0.46,1.89,6.83,417,Very Good/Poor
1920,0.16,9.45,0.44,1.78,9.61,416,Very Good/Poor
1923,0.12,7.47,0.42,1.97,7.59,420,Very Good/Poor
1926,0.19,16.3,0.54,2.94,16.49,416,Excellent/Very Good
1929,0.18,11.79,0.54,2.19,11.97,418,Excellent/Very Good
1932,0.15,7.9,0.8,1.45,8.05,421,Very Good/Poor
1935,0.22,19.13,0.54,3.11,19.35,417,Excellent/Very Good
1938,0.16,11.25,0.54,1.87,11.41,417,Excellent/Good
1941,0.13,7.86,0.57,1.61,7.99,418,Very Good/Poor
1944,0.18,12.42,0.59,2.27,12.6,418,Excellent/Very Good
1947,0.14,9.84,0.55,1.86,9.98,418,Very Good/Poor
1950,0.15,8.53,0.65,1.58,8.68,421,Very Good/Poor
1953,0.15,9.73,0.42,1.89,9.88,418,Very Good/Poor
1956,0.18,10.1,0.5,1.81,10.28,420,Excellent/Good
1959,0.14,7.25,0.84,1.81,7.39,421,Very Good/Poor
1962,0.21,13.89,0.48,2.2,14.1,413,Excellent/Very Good
1965,0.19,12.64,0.49,2.07,12.83,415,Excellent/Very Good
1968,0.14,6.02,0.77,1.45,6.16,422,Very Good/Poor
1971,0.15,6.67,0.69,1.77,6.82,417,Very Good/Poor
1974,0.12,5.6,0.53,1.65,5.72,420,Good/Good
1977,0.11,4.71,0.38,1.29,4.82,416,Good/Good
1980,0.15,5.94,0.44,1.58,6.09,417,Very Good/Poor
1983,0.17,9.22,0.62,2.21,9.39,417,Very Good/Poor
1986,0.16,6.79,0.75,1.74,6.95,423,Very Good/Poor
1989,0.12,5.66,0.37,1.63,5.78,416,Good/Good
1992,0.15,6.79,0.45,1.51,6.94,418,Very Good/Poor
1995,0.17,8.45,0.45,1.67,8.62,416,Very Good/Poor
1998,0.14,4.74,0.45,1.2,4.88,421,Good/Good
2001,0.17,7.46,0.36,1.56,7.63,414,Very Good/Poor
2007,0.13,5.58,0.45,1.64,5.71,421,Good/Good
2010,0.15,5.05,0.35,1.25,5.2,421,Good/Good
2013,0.14,5.17,0.42,1.65,5.31,421,Good/Good
2016,0.14,4.05,0.46,1.47,4.19,424,Good/Good
2019,0.11,3.18,0.4,1.17,3.29,422,Fair/Good
2022,0.12,3.37,0.41,1.2,3.49,423,Fair/Good
2025,0.12,3.09,0.45,1.5,3.21,425,Fair/Good
2028,0.12,2.58,0.42,1.02,2.7,424,Fair/Good
2031,0.13,5.91,0.46,1.58,6.04,426,Very Good/Poor
2034,0.13,5.43,0.44,1.6,5.56,423,Good/Good
2037,0.13,5.31,0.59,1.84,5.44,425,Good/Good
